"Titel"	"OGDB-Eintrag"
"a.r.e.s.: extinction agenda ex"	"a.r.e.s.: extinction agenda ex (steam)"
"A.R.E.S.: Extinction Agenda EX"	"A.R.E.S.: Extinction Agenda EX (Steam)"
"ark: survival evolved"	"ark: survival evolved (steam, early access)"
"Ark: Survival Evolved"	"Ark: Survival Evolved (Steam, Early Access)"
"attack on titan/ a.o.t.: wings of freedom"	"attack on titan/ a.o.t.: wings of freedom (steam)"
"Attack on Titan/ A.O.T.: Wings of Freedom"	"Attack on Titan/ A.O.T.: Wings of Freedom (Steam)"
"baphomets fluch 5"	"baphomets fluch 5: der sündenfall - episode 1"
"black mirror"	"black mirror (special edition)"
"CrossCode"	"CrossCode (Steam, Early Access)"
"crosscode"	"crosscode (steam, early access)"
"crossout"	"crossout (steam, early access)"
"Crossout"	"Crossout (Steam, Early Access)"
"darkest dungeon"	"darkest dungeon (steam, early access)"
"Darkest Hour: A Hearts of Iron Game"	"Darkest Hour: A Hearts of Iron Game (Steam)"
"darkest hour: a hearts of iron game"	"darkest hour: a hearts of iron game (steam)"
"deus ex: mankind divided"	"deus ex: mankind divided"
"Deus Ex: Mankind Divided"	"Deus Ex: Mankind Divided"
"die sims 4"	"die sims 4 (limited edition)"
"dishonored 2"	"dishonored 2"
"Dishonored 2"	"Dishonored 2"
"distance"	"distance (steam, early access)"
"Don't Starve Together"	"Don't Starve Together (Steam, Early Access)"
"don't starve together"	"don't starve together (steam, early access)"
"Dragon Ball: Xenoverse"	"Dragon Ball: Xenoverse"
"dragon ball: xenoverse"	"dragon ball: xenoverse"
"Dragon Ball: Xenoverse 2"	"Dragon Ball: Xenoverse 2"
"dragon ball: xenoverse 2"	"dragon ball: xenoverse 2"
"dragon quest heroes"	"dragon quest heroes: der weltenbaum und der tyrann aus der tiefe (day one edition)"
"dungeon of the endless"	"dungeon of the endless  (steam)"
"Dungeon of the Endless"	"Dungeon of the Endless  (Steam)"
"dungeons & dragons: neverwinter"	"dungeons & dragons: neverwinter (gamestar xl 06/2013)"
"EA Sports UFC 2"	"EA Sports UFC 2"
"ea sports ufc 2"	"ea sports ufc 2"
"endless legend"	"endless legend "
"everspace"	"everspace (gog, early access)"
"Everspace"	"Everspace (GOG, Early Access)"
"Everybody’s Gone to the Rapture"	"Everybody's Gone to the Rapture"
"everybody’s gone to the rapture"	"everybody's gone to the rapture"
"f1 2016"	"f1 2016 (limited edition)"
"F1 2016"	"F1 2016 (Limited Edition)"
"fahrenheit: indigo prophecy remastered"	"fahrenheit: indigo prophecy remastered (steam)"
"Fahrenheit: Indigo Prophecy Remastered"	"Fahrenheit: Indigo Prophecy Remastered (Steam)"
"football manager 2016"	"football manager 2016 (steam)"
"Football Manager 2016"	"Football Manager 2016 (Steam)"
"Football Manager 2017"	"Football Manager 2017 (Limited Edition)"
"football manager 2017"	"football manager 2017 (limited edition)"
"forza motorsport 6"	"forza motorsport 6 (ten year anniversary edition)"
"ftl: faster than light"	"ftl: advanced edition"
"gone home"	"gone home (special edition)"
"deponia: the complete journey"	"goodbye deponia"
"grand theft auto v"	"grand theft auto v"
"Grand Theft Auto V"	"Grand Theft Auto V"
"grav: action survival"	"grav: action survival  (steam, early access)"
"grey goo"	"grey goo (steam)"
"Grey Goo"	"Grey Goo (Steam)"
"grim dawn"	"grim dawn (gog)"
"Grim Dawn"	"Grim Dawn (GOG)"
"h1z1"	"h1z1 (steam, early access)"
"H1Z1: King of the Kill"	"H1Z1 (Steam, Early Access)"
"h1z1: king of the kill"	"h1z1 (steam, early access)"
"half life 2: prospekt"	"half-life 2"
"Half Life 2: Prospekt"	"Half-Life 2"
"hard west"	"hard west (collector's edition, steam)"
