"Alter"	"????"	"USK0"	"USK12"	"USK16"	"USK18"	"USK6"	"Gesamt"
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	""	""	""	""	""	""	""
14	3.0	1.0	4.0	2.0	1.0	2.0	13.0
15	3.0	1.0	5.0	8.0	8.0	3.0	28.0
16	8.0	5.0	18.0	22.0	22.0	5.0	80.0
17	21.0	4.0	22.0	29.0	35.0	5.0	116.0
18	45.0	16.0	38.0	57.0	49.0	12.0	217.0
19	30.0	13.0	31.0	52.0	44.0	5.0	175.0
20	56.0	16.0	30.0	47.0	54.0	5.0	208.0
21	39.0	18.0	49.0	62.0	40.0	5.0	213.0
22	51.0	11.0	41.0	50.0	47.0	14.0	214.0
23	48.0	15.0	40.0	67.0	50.0	8.0	228.0
24	39.0	10.0	32.0	50.0	52.0	5.0	188.0
25	46.0	17.0	34.0	39.0	44.0	6.0	186.0
26	64.0	18.0	41.0	57.0	58.0	9.0	247.0
27	27.0	9.0	25.0	43.0	35.0	8.0	147.0
28	37.0	13.0	29.0	34.0	36.0	8.0	157.0
29	22.0	8.0	21.0	25.0	35.0	8.0	119.0
30	41.0	15.0	22.0	56.0	28.0	6.0	168.0
31	42.0	6.0	11.0	23.0	23.0	4.0	109.0
32	33.0	5.0	17.0	31.0	32.0	4.0	122.0
33	26.0	4.0	20.0	29.0	30.0	5.0	114.0
34	27.0	6.0	17.0	37.0	35.0	6.0	128.0
35	25.0	9.0	26.0	23.0	30.0	6.0	119.0
36	29.0	3.0	21.0	24.0	27.0	8.0	112.0
37	28.0	6.0	17.0	18.0	26.0	7.0	102.0
38	11.0	0.0	3.0	16.0	15.0	3.0	48.0
39	11.0	2.0	12.0	14.0	13.0	3.0	55.0
40	7.0	1.0	5.0	12.0	15.0	4.0	44.0
41	5.0	3.0	3.0	10.0	9.0	2.0	32.0
42	9.0	0.0	4.0	9.0	7.0	2.0	31.0
43	11.0	2.0	6.0	9.0	8.0	1.0	37.0
44	7.0	0.0	5.0	11.0	10.0	0.0	33.0
45	4.0	0.0	10.0	6.0	8.0	4.0	32.0
46	2.0	4.0	1.0	3.0	2.0	1.0	13.0
47	4.0	1.0	4.0	4.0	6.0	2.0	21.0
48	2.0	1.0	6.0	6.0	4.0	3.0	22.0
49	6.0	0.0	5.0	1.0	3.0	3.0	18.0
50	0.0	0.0	5.0	3.0	2.0	0.0	10.0
51	5.0	3.0	5.0	6.0	13.0	0.0	32.0
52	0.0	0.0	0.0	0.0	0.0	0.0	0.0
53	0.0	0.0	3.0	1.0	1.0	0.0	5.0
54	0.0	0.0	1.0	1.0	10.0	1.0	13.0
55	2.0	0.0	3.0	3.0	1.0	1.0	10.0
56	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57	""	""	""	""	""	""	""
58	""	""	""	""	""	""	""
59	""	""	""	""	""	""	""
60	2.0	0.0	0.0	1.0	2.0	0.0	5.0
61	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	""	""	""	""	""	""	""
64	0.0	0.0	0.0	0.0	0.0	0.0	0.0
